reviews,sentiment
God actors potrayed VIP people act  cringed everytime said line  felt like reading  Even intonation  like kids read play class exagerated intonation  Terrible  awful ,pos
 first episodes definite 8 books  started bit boring predictable last couple episodes  glass game feel like old children game  new take hopscotch perhaps  old guy appeared end  saw coming  second showed back head Host  happened Player 001 supposedly died game 3  surprised guessed right rather screen time final episode  Also nt get Frontman s motivation  looked like leader  actually yes man  left brother cop looking  rich man yes man  Hmmm  understand bitcharacter  find rather loose story brothersThen Gi Hun decision end  finally gets chance start daughter  one thing wants anything else  Instead went back seconds  wait  thirds  guess setting narrative way opens possibility season 2I get high ratings hype  beneath nottoobad series worthy 6 ,pos
show starts amazing  progresses amazingly  characters distinct  exactly deep  get job done shocking powerful arcs  moments made cry  nt expecting  point around middle season ready call best TV show decadeAnd VIPs came inTheir acting atrocious  like TheRoomlevel bad  scratching head guys allowed set  guess must language barrier prevents show s creators able judge good acting American dialogue  VIPs break immersion  almost made plot less interesting show started delve sort Hostelesque depravedrichguyswatchthepeasantsscuffle tropesHowever  nt destroy show  could overlooked  show sort fell apart logically  First glass hopscotch sort game wondering throughout entire thing  nt contestants try cling onto frame platforms shatter  nt contestants hold shoes chuck platforms see tempered glass nt  finally  SaeByeok  easily compelling character show  dies stupidest way possible  point character development  particularly incredible poignant scene girl nose piercing  angered see promising character die dumb way  maybe part visceral reaction favorite character  feel like much potential fell flat  leaving viewer feeling cheated build  s almost like show said   Yeah need kill characters quick cause  uh  finale s coming  kay  let s get   follows unimpressive cliche fight Seong GiHun Mr  ImCompletelySelfishUntilthePlotDemandsISacrificeMyself  followed kind cool twist Player 1 reveals s alive undercover VIP whole time  neat really ruins one favorite scenes  marble scene Seong GiHun   Seong Gi Hun becomes strawberry decides  like  go rogue VIPs somethingI would nt minded SaeByeok s death nt rushed anticlimactic  would nt minded nt literally counteract amazingness set first half show  s almost like two showrunners fighting conceptI still really enjoy good moments show  however  ca nt overstate  sat back awe many times said   one best scenes TV history   definitely rewatch show  especially first 6ish episodes  never moment  even season started getting bad  felt bored disinterested  feel like show raises bar Netflix m glad watched itI also ca nt overstate bad decisions  nt  would best show decade  still really good watch  re ready suspend disbelief quite bit okay feeling slightly empty frustrated end ,pos
Decent set deco Battle royal flavorsA bit long runtime  especially first halfVery bloody gory timesAddictive thats cup tv tea ,neg
loved series think end first season made sense  red hair color  wanted money good father feels like completely forgot daughter  really disliked way handle end ,pos
ve watched whole lot s plain silly  cast bring overacting new level  characters spectacularly annoying  wanted die Episode 2  nt know watched  m sure far better things could life  Like cleaning bathroom cutting toe nails  s really woeful ,neg
Seriously  things considered  re pretty small selfcontained part  main characters brilliant roles  guess good actors figured parts re wearing masks whole time would nt get much exposure  pacing character development superb ,pos
Episode 1 AMAZING    things went downhill little bit episode  episode 4  totally itI watch 9 episodes  d already invested much time  Plus  wanted see social media hype  unfortunately  9 episodes  m seeing itDid nt really need 9 hours long  would worked better one regular 90minute film ,pos
 ENTIRE premise based let s play games played kids  based skill completely fair  re equal ground   series keeps premise EP01 EP05  becomes rigged game  also longer based skill  COMPLETELY based luck  GIANT problem entire premise  play fair games  based skill  throw window  Honestly  series pretty great   series poor 510  nt completely throw premise series based  half way line  would 910 series  think make Season2  hope God Season2  nt completely derail premise like Season1  Season1 completely spoiled ,pos
s lot hype surrounding series  thought okay  almost nt finish walking stopping halfway episode 1  problem gets overly melodramatic family issues  protagonist unlikableAfter fast forwarding subway station scene meets guy eventually gets game  stuck showSo show visually interesting  guess people get intrigued see photos setsUnfortunately games created equally  based kids games  led believe  kid game involves crossing glass bridge  kind kid game involves cutting shape cookie    quite irritating characters  stereotypical gangster type  d think director clever  d gangster character redeem near end appearance   goes still jerkAnd brought equally irritating character  woman introduced someone wanted leave  later turns ruthless gangster guyThe pakistani guy seems like someone root  time  get bit irritating excessive naivety  old man also irritating  honestly  twist end dumb  ll get back laterOver course show  learn little bits place  foreshadowings give away twists bit easily  also learn game  apparently happening decades  Strange  nobody seems notice hundreds people disappearing time year  time  none winners ever talked anyone else surviving game  series pretty good energy last two three episodes  loses steam gets dumb  introduction VIPs completely takes story  s badly handled  d think re watching another showThe final three scene also inconsistent show  given knives   thought rules ca nt harm  two three killed  would final game VIPs bet onThe final game way predictable   know s coming  nt even play wellAfter series 30 minute episodes  show ends super dull  50 minute final episode meanders  find old man  never learn reasons game  s rich person bored  s dumb old man participated dangerous games  could died many times  hear getting shot  get shot  workers would nt know wasThey never explain workers participate  trust people wo nt talk  guess stay island year  go back regular jobsSee  many questions  many holes  final ending also pretty bad  sure setting sequel  wanted clever  open ending ,neg
Among things  writerdirector stresses several times players equal  must treated fairly  near end  3 finalists cross glass bridge successfully  bridge panels explode great ferocity causes young woman seriously wounded  later killer explain mercy killing  terminally wounded  s hardly fair  nt agree  old man turns Mr Big part tug war game rigged  means winners  unbelievable way could win physically stronger team  lost would perished fall  Incongruous story mistakeSeveral semifinalists  young woman instance one finalist commit suicide  former unbelievable since mother brother wants save  latter unexpectedly since shown competition anything winI also believe makes sense VIP s show end  Surely millions dollars spend would mean would want see every bloody  mean bloody  minute gamesI also found making VIP s Americans prejudicial  mean world s class exploitation exists 1 percenters American ,pos
Show lame  weirdly paced slow  wasnt anything new groundbreaking eithee  Dont follow hype either  Idk even popular much better  Alice boarderland far better much intense  dont know wtf goin happen show  show like escape room meets saw battle royal nowhere near amazing BR  Skip watch bored ,pos
fact new series recently considered latest cult hit reviews  including established critics  celebrate stuff sign stupidity abstinence reflection modern times 21st century  much wrong series  yes  whole idea behind  hardly know start  ll try  purely cinematic criticism first  character development ad hoc  rapid succession hardly comprehensible  character development failed disliked clown moral hero work wrapped bad script  supporting characters vehicles much else  Scattered show humanity  friendship criminal energy ruthlessness  ultimately figures  cinematography okay  far obsessed disgusting aesthetic  full wealth  greed hedonism renunciation antivalues  celebration  music  score completely irrelevant immature  influence film  script many gaps Swiss cheese storylines go untold  actors sometimes like  tend lower range theatrical talent factory  often convey one  going gets tough  maybe two three qualities script exploits like wood engravings  Aside obvious aspects  however  worst thing entire series game hideandseek  producers creators series pretend telling parable wealth  unscrupulousness  greed money  ultimate end  moral story ethics  humanity humanism  aim target group aimed breath Interested topics  Instead  show   driven success target group fascinated sadism  ruthlessness immeasurable wealth brutal game chance  last episode underlines ridiculousness impressively  game double standards also pure greed money takes place  Artistic  Love medium film  affection pop culture  None  hard time expressing much hate series disgust partying reactions takes breath away  world  like ancient Rome  seems perish disgusting hedonism time  fun welcome Squid Games  m ,pos
talk reviews bewildered  m Ep3 struggling 5 attempts start bingeingI find boring really childish  pretty ordinary actingThe set design  art direction general production values 1970sTwo attempts ll give ,neg
series overrated  let s fair  s good series  ve watched movies  script good  Acting sometimes exaggerated  maybe s cultural thing  like final part  Overall well done  final episode  expectation different  final scene disappointing  Season 2 come  hope nt fall  La Casa De Papel  status ,pos
